job_id,nganh_nghe
35BB78AA,Giáo dục / Đào tạo
35BB78AA,Hành chính / Thư ký
35BB78AA,Nhân sự
35BB77DA,Unknown
35BB77D4,Kế toán / Kiểm toán
35BB7749,Xuất nhập khẩu
35BB77C4,Tiếp thị / Marketing
35BB77C4,Bán lẻ / Bán sỉ
35BB77C4,Bán hàng / Kinh doanh
35BB798B,Ngân hàng
35BB798B,CNTT - Phần mềm
35BB798B,CNTT - Phần cứng / Mạng
35BB7789,Y tế / Chăm sóc sức khỏe
35BB7789,Tư vấn
35BB7789,Dịch vụ khách hàng
35BB77A8,Unknown
35BB7873,Bán lẻ / Bán sỉ
35BB7873,Kế toán / Kiểm toán
35BB7873,Tài chính / Đầu tư
35BB781A,Tiếp thị / Marketing
35BB781A,Bán hàng / Kinh doanh
35BB781A,Dịch vụ khách hàng
35BB787B,Giáo dục / Đào tạo
35BB787B,Thư viện
35BB787B,CNTT - Phần mềm
35BB778E,Tư vấn
35BB778E,Giáo dục / Đào tạo
35BB778E,Nhân sự
35BB774A,Tiếp thị / Marketing
35BB774A,Quảng cáo / Đối ngoại / Truyền Thông
35BB7830,Y tế / Chăm sóc sức khỏe
35BB7830,Tư vấn
35BB7830,Dịch vụ khách hàng
35BB79AF,Tiếp thị / Marketing
35BB79AF,Bán lẻ / Bán sỉ
35BB79AF,Bán hàng / Kinh doanh
35BB79A0,Kế toán / Kiểm toán
35BB75D9,Bán hàng / Kinh doanh
35BB75D9,Cơ khí / Ô tô / Tự động hóa
35BB75D9,Điện / Điện tử / Điện lạnh
35BB7720,Y tế / Chăm sóc sức khỏe
35BB7720,Dược phẩm
35BB7720,Bán hàng / Kinh doanh
35BB78C2,Hành chính / Thư ký
35BB78C2,Quản lý điều hành
35BB78C2,CNTT - Phần mềm
35BB61AB,Bán hàng / Kinh doanh
35BB61AB,Thực phẩm & Đồ uống
35BB61AB,Bán lẻ / Bán sỉ
35BB77F8,Unknown
35BB783B,Kế toán / Kiểm toán
35BB783B,Vận chuyển / Giao nhận /  Kho vận
35BB7783,Bán hàng / Kinh doanh
35BB7783,Ngân hàng
35BB7783,Tài chính / Đầu tư
35BB78B4,Nông nghiệp
35BB78B4,Cơ khí / Ô tô / Tự động hóa
35BB78B4,Sản xuất / Vận hành sản xuất
35BB7931,Dịch vụ khách hàng
35BB7931,Giáo dục / Đào tạo
35BB7881,Vận chuyển / Giao nhận /  Kho vận
35BB7881,Xuất nhập khẩu
35BB773D,Unknown
35BB7793,Vận chuyển / Giao nhận /  Kho vận
35BB7793,Kế toán / Kiểm toán
35BB7793,Xuất nhập khẩu
35BB7979,Hành chính / Thư ký
