job_id,detailed_welfare
35BB85EB,Laptop
35BB85EB,Chế độ bảo hiểm
35BB85EB,Du Lịch
35BB85EB,Phụ cấp
35BB85EB,Xe đưa đón
35BB85EB,Đồng phục
35BB85EB,Chế độ thưởng
35BB85EB,Chăm sóc sức khỏe
35BB85EB,Đào tạo
35BB85EB,Tăng lương
35BB85EB,Công tác phí
35BB85EB,Nghỉ phép năm
35BB85EB,CLB thể thao
35BB85E1,Chế độ bảo hiểm
35BB85E1,Du Lịch
35BB85E1,Phụ cấp
35BB85E1,Chế độ thưởng
35BB85E1,Chăm sóc sức khỏe
35BB85E1,Đào tạo
35BB85E1,Tăng lương
35BB862D,Laptop
35BB862D,Chế độ bảo hiểm
35BB862D,Du Lịch
35BB862D,Phụ cấp
35BB862D,Chế độ thưởng
35BB862D,Chăm sóc sức khỏe
35BB862D,Đào tạo
35BB862D,Tăng lương
35BB862D,Nghỉ phép năm
35BB862F,Chế độ bảo hiểm
35BB862F,Du Lịch
35BB862F,Đồng phục
35BB862F,Chế độ thưởng
35BB862F,Chăm sóc sức khỏe
35BB862F,Đào tạo
35BB862F,Tăng lương
35BB862F,Công tác phí
35BB862F,Nghỉ phép năm
35BB84A3,Laptop
35BB84A3,Chế độ bảo hiểm
35BB84A3,Du Lịch
35BB84A3,Phụ cấp
35BB84A3,Chế độ thưởng
35BB84A3,Đào tạo
35BB84A3,Tăng lương
35BB84A3,Công tác phí
35BB84A3,Nghỉ phép năm
35BB84A3,CLB thể thao
35BB85F0,Chế độ bảo hiểm
35BB85F0,Du Lịch
35BB85F0,Phụ cấp
35BB85F0,Chế độ thưởng
35BB85F0,Chăm sóc sức khỏe
35BB85F0,Đào tạo
35BB85F0,Nghỉ phép năm
35BB8638,Laptop
35BB8638,Chế độ bảo hiểm
35BB8638,Du Lịch
35BB8638,Chế độ thưởng
35BB8638,Chăm sóc sức khỏe
35BB8638,Đào tạo
35BB8638,Tăng lương
35BB8637,Chế độ bảo hiểm
35BB8637,Du Lịch
35BB8637,Chế độ thưởng
35BB8637,Chăm sóc sức khỏe
35BB8637,Đào tạo
35BB8637,Tăng lương
35BB85F2,Chế độ bảo hiểm
35BB85F2,Du Lịch
35BB85F2,Phụ cấp
35BB85F2,Đồng phục
35BB85F2,Chế độ thưởng
35BB85F2,Chăm sóc sức khỏe
35BB85F2,Đào tạo
35BB85F2,Tăng lương
35BB85F2,Công tác phí
35BB85F2,Phụ cấp thâm niên
35BB85F2,Nghỉ phép năm
35BB85F2,CLB thể thao
35BB85F8,Chế độ bảo hiểm
35BB85F8,Du Lịch
35BB85F8,Phụ cấp
35BB85F8,Chế độ thưởng
35BB85F8,Chăm sóc sức khỏe
35BB85F8,Đào tạo
35BB85F8,Tăng lương
35BB85F8,Công tác phí
35BB85F8,Nghỉ phép năm
35BB85F3,Chế độ bảo hiểm
35BB85F3,Du Lịch
35BB85F3,Chế độ thưởng
35BB85F3,Chăm sóc sức khỏe
35BB85F3,Đào tạo
35BB85F3,Tăng lương
35BB862E,Chế độ bảo hiểm
35BB862E,Du Lịch
35BB862E,Chế độ thưởng
35BB862E,Chăm sóc sức khỏe
35BB862E,Đào tạo
35BB862E,Tăng lương
35BB85F4,Chế độ bảo hiểm
35BB85F4,Du Lịch
35BB85F4,Phụ cấp
35BB85F4,Chế độ thưởng
35BB85F4,Chăm sóc sức khỏe
35BB85F4,Đào tạo
35BB85F4,Tăng lương
35BB85F4,Công tác phí
35BB85F4,Nghỉ phép năm
35BB8639,Chế độ bảo hiểm
35BB8639,Du Lịch
35BB8639,Phụ cấp
35BB8639,Đồng phục
35BB8639,Chế độ thưởng
35BB8639,Chăm sóc sức khỏe
35BB8639,Đào tạo
35BB8639,Tăng lương
35BB8639,Công tác phí
35BB85F5,Laptop
35BB85F5,Chế độ bảo hiểm
35BB85F5,Du Lịch
35BB85F5,Chế độ thưởng
35BB85F5,Chăm sóc sức khỏe
35BB85F5,Đào tạo
35BB85F5,Tăng lương
35BB85F5,Nghỉ phép năm
35BB85FC,Chế độ bảo hiểm
35BB85FC,Du Lịch
35BB85FC,Phụ cấp
35BB85FC,Đồng phục
35BB85FC,Chế độ thưởng
35BB85FC,Chăm sóc sức khỏe
35BB85FC,Đào tạo
35BB85FC,Tăng lương
35BB85FC,Phụ cấp thâm niên
35BB85FC,Nghỉ phép năm
35BB85FA,Laptop
35BB85FA,Chế độ bảo hiểm
35BB85FA,Du Lịch
35BB85FA,Phụ cấp
35BB85FA,Xe đưa đón
35BB85FA,Đồng phục
35BB85FA,Chế độ thưởng
35BB85FA,Chăm sóc sức khỏe
35BB85FA,Đào tạo
35BB85FA,Tăng lương
35BB85FA,Nghỉ phép năm
35BB85FD,Chế độ bảo hiểm
35BB85FD,Du Lịch
35BB85FD,Phụ cấp
35BB85FD,Chế độ thưởng
35BB85FD,Chăm sóc sức khỏe
35BB85FD,Đào tạo
35BB85FD,Tăng lương
35BB85FD,Công tác phí
35BB85FD,Nghỉ phép năm
35BB85FF,Chế độ bảo hiểm
35BB85FF,Du Lịch
35BB85FF,Chế độ thưởng
35BB85FF,Chăm sóc sức khỏe
35BB85FF,Đào tạo
35BB85FF,Tăng lương
35BB85F9,Chế độ bảo hiểm
35BB85F9,Du Lịch
35BB85F9,Phụ cấp
35BB85F9,Chế độ thưởng
35BB85F9,Chăm sóc sức khỏe
35BB85F9,Đào tạo
35BB85F9,Tăng lương
35BB85F9,Công tác phí
35BB85F9,Nghỉ phép năm
35BB85B2,Chế độ bảo hiểm
35BB85B2,Du Lịch
35BB85B2,Chế độ thưởng
35BB85B2,Đào tạo
35BB85BB,Laptop
35BB85BB,Chế độ bảo hiểm
35BB85BB,Du Lịch
35BB85BB,Phụ cấp
35BB85BB,Đồng phục
35BB85BB,Chế độ thưởng
35BB85BB,Chăm sóc sức khỏe
35BB85BB,Tăng lương
35BB85BB,Công tác phí
35BB85BB,Phụ cấp thâm niên
35BB85BB,Nghỉ phép năm
35BB85B6,Chế độ bảo hiểm
35BB85B6,Du Lịch
35BB85B6,Chế độ thưởng
35BB85B6,Chăm sóc sức khỏe
35BB85B6,Đào tạo
35BB85B6,Tăng lương
35BB85BC,Unknown
35BB85C1,Chế độ bảo hiểm
35BB85C1,Du Lịch
35BB85C1,Chế độ thưởng
35BB85C1,Chăm sóc sức khỏe
35BB85C1,Đào tạo
35BB85C1,Tăng lương
35BB85BD,Chế độ bảo hiểm
35BB85BD,Du Lịch
35BB85BD,Chế độ thưởng
35BB85BD,Chăm sóc sức khỏe
35BB85BD,Đào tạo
35BB85BD,Tăng lương
35BB85BD,Nghỉ phép năm
35BB8559,Unknown
35BB85BE,Laptop
35BB85BE,Chế độ bảo hiểm
35BB85BE,Du Lịch
35BB85BE,Phụ cấp
35BB85BE,Chế độ thưởng
35BB85BE,Chăm sóc sức khỏe
35BB85BE,Đào tạo
35BB85BE,Tăng lương
35BB85BE,Công tác phí
35BB85B9,Laptop
35BB85B9,Chế độ bảo hiểm
35BB85B9,Du Lịch
35BB85B9,Đồng phục
35BB85B9,Chế độ thưởng
35BB85B9,Chăm sóc sức khỏe
35BB85B9,Đào tạo
35BB85B9,Tăng lương
35BB85B9,Nghỉ phép năm
35BB85B9,CLB thể thao
35BB85FB,Chế độ bảo hiểm
35BB85FB,Du Lịch
35BB85FB,Phụ cấp
35BB85FB,Đồng phục
35BB85FB,Chế độ thưởng
35BB85FB,Chăm sóc sức khỏe
35BB85FB,Đào tạo
35BB85FB,Tăng lương
35BB85FB,Công tác phí
35BB85FB,Nghỉ phép năm
